country,name,related_documents,policy_type,policy_status,impact_on_eu_ets_esd_or_lulucf_emissions,policy_target,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,jurisdiction,agency,policy_implementation_period_start_year,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,policy_implementation_period_end_year,link,data_source,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_quantity,policy_financing_period_start,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
Austria,Decrease emissions from F-gases and other product use,Single PaM,Regulatory,Implemented,ESD,Industrial processes,,,Government,"Government: Ministry  of Agriculture, Forestry, Environment and Water Management,Government: Ministry of Science, Research and Economy",2002,Yes,F-gas Regulation 2006/842/EC;F-gas Regulation 517/2014;Motor Vehicles Directive 2006/40/EC;Industrial emissions Directive 2010/75/EU (Recast of IPPC Directive 2008/1/EC and Large Combustion Plant Directive 2001/80/EC) ,"HFC, PFC, SF6, NF3","This measure includes a.o.:
- prohibition and restriction of the use of (partly) fluorinated hydrocarbons and SF6 through a national law (Industriegasverordnung)
- quota system for the production and import of F-gases (Implementation of EU law)
- Reducing HFC emissions from air conditioning in motor vehicles (Implementation of EU law)
 reduction of F-gases in stationary applications
- Limitation of VOC emissions from the use of organic solvents in industrial installations (Implementation of EU law)",,,eea,,,,,,,,,,,
Austria,Implementation of EU agricultural policies,Single PaM,"Economic, Regulatory",Implemented,ESD,Agriculture,,,"Government, Regional","Government: Ministry  of Agriculture, Forestry, Environment and Water Management,Regional: Federal provinces",2007,Yes, ,"CH4, N2O","This measure summarises the implementation of the programme for rural development 2014-2020 and the implementation of the Common agricultural policy (CAP). Herein measures such as improved feeding of pigs and poultry, covering of manure storage, low-loss application of manure and biogas slurry, promotion of organic farming, reduced usage of mineral fertiliser and promotion of grazing are summarised.",2020,,eea,,,,,,,,,,,
Austria,Sustainable Forest Management,Single PaM,Regulatory,Implemented,LULUCF,"Land use, land use change and forestry",,,"Government, Regional","Government: Ministry of Agriculture, Forestry, Environment and Water Management,Regional: Federal provinces",1975,Yes,LULUCF Decision No 529/2013/EU ,CO2,"The overall principles of forest management in Austria are stipulated in the Forest Act and include a wide-range of forest related measures: Guiding Principles of Forest Management, General ban on forest clearance/Deforestation, General ban on Forest Destruction, Immediate Re/Afforestation after felling, Forest Litter removal, Forest Protection (from Fires and Pests), Provisions on Harvest haulage & Forest Roads, Sustainable Use of Forests, Austrian Forest Dialogue, Forest Cooperatives, Task Force Renewable Energy, Protection of Wetlands.",,,eea,,,,,,,,,,,
Austria,Reduce emissions from waste treatment,Single PaM,Regulatory,Implemented,ESD,Waste management/waste,,,"Government, Regional","Government: Ministry of Agriculture, Forestry, Environment and Water Management,Regional: Federal provinces",1997,Yes,Landfill Directive 1999/31/EC;Waste Management Framework Directive 2008/98/EC ,"CH4, N2O","To reduce emissions from waste treatment, deposition of untreated biodegradable waste has been banned completely (Austrian Landfill Ordinance). According to this Ordinance, no untreated biodegradable waste has been allowed on landfills since 2004, with no exemptions permitted since 2008. Methane emissions from mass landfills are reduced by the mandatory collection and use of landfill gas. The carbon content of waste is reduced by incineration or mechanical-biological treatment before deposition (pre-treatment options). Due to their size, more than half of existing mechanical-biological treatment plants fall under the scope of the EU Industrial Emissions Directive, under which emission have to be limited according to BAT provisions. In order to minimise the generation of waste, awareness raising campaigns and networks have been established to minimise especially food waste and to intensify the re-use of waste.",,,eea,,,,,,,,,,,
Belgium,EP-A01 : Green and/or combines heat and power (CHP) certificates,Single PaM,Economic,Implemented,EU ETS,Energy supply,,,Regional,"Regional: Wallonia : CwAPE,Regional: Flanders : VEA, VREG,Regional: Brussels : IBGE, Brugel",2004,Yes,RES directive 2009/28/EC;Cogeneration Directive 2004/8/EC;Completion of the internal energy market (including provisions of the 3d package) ,CO2,"Regional level : 
Principle of a system of green certificates : 
1. A green certificate is allocated to a producer of green electricity every time its production avoids the emission of a fixed amount of CO2, if it had to be produced in a reference fossil fuel plant (natural gas : combined cycle gas turbine - CCGT). 2. Each year, a predefined (and annually increasing) percentage of electricity supplied to end users has to be covered by green electricity. Suppliers must restitute the necessary number of green certificates to demonstrate that they respect that rule. In case of failure, a penalty fee is due. This situation creates a market for green certificates for the benefit of green electricity producers. In Flanders, a similar process is established for combines heat and power (CHP), while CHP is integrated in the green certificates system in Brussels and Wallonia. Green certificates and CHP certificates : share of electricity sales to be covered by renewable energy systems (RES) and/or high efficiency CHP. Guaranteed minimum income for suppliers of green energy. Shares are regularly updated by regional regulation authorities. Federal authority : (offshore windfarms; see also EP-A05) 1. A green certificate is an immaterial good certifying that a producer produced a given amount of green electricity (ie. produced from renewable energy sources) during a given period of time 
2. There is a legal obligation for the transmission network operator (TSO) to buy all green certificates granted to the holders of a domain concession and originating from offshore wind energy production. The obligation to purchase green electricity certificates produced from offshore wind energy is the subject, on the proposal of the network operator, of a contract between the holder of the domain concession and the network manager. 
3. The final cost of this system is borne by the final consumer through a tariff overload.",,,eea,,,,,,,,,,,
Belgium,EP-A02 : Support for electricity production from renewable energy systems (RES),Single PaM,"Economic, Fiscal",Implemented,EU ETS,Energy supply,,,"Government, Regional","Government: FED : FPS Economy, SMEs, Self-Employed and Energy - DG Energy (E2), FPS Finance,Regional: Flanders: VEA, VREG,Regional: Wallonia : DG04 Energie &amp; DG06 Economie,Regional: Brussels: IBGE, Sibelga",2004,Yes,RES directive 2009/28/EC;Cogeneration Directive 2004/8/EC;Completion of the internal energy market (including provisions of the 3d package) ,CO2,"Financial support for electricity generation from renewable energy source (RES) through subsidies from the regions. Federal fiscal measures (special excise tax on fossil fuel for electricity production in 2004 and additional 'Cotisation sur l'énergie/Bijdrage op energie' on coal + end of the system of excise duty exemptions for coal, coke, lignite and heavy fuel oil for electricity production)
Flanders: The government of Flanders encourages companies to invest in RES, offering them a financial compensation by means of the ecology premium and strategic ecology support (investments that receive support under the green certificates or combined heat and power (CHP) certificates system are excluded).",,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EP-A03 : End of tax exemption on coal and heavy fuel,Single PaM,Fiscal,Implemented,EU ETS,Energy supply,,,Government,Government: Federal Finance public service,2004,Yes,RES directive 2009/28/EC;Energy Taxation Directive 2003/96/EC ,CO2,"Exemption from excise has been suppressed & an excise duty on energy for coal and heavy fuel oil products has been established As of 1 January 2015, all excise duties on energy products and electricity have slightly increased",,,eea,,,,,,,,,,,
Belgium,EP-A04 : Facilitators services for renewable energy systems (RES) and combines heat and power (CHP) promotion,Single PaM,Information,Implemented,"EU ETS, ESD",Energy supply,,,Regional,"Regional: Flanders: VEA,Regional: Brussels: IBGE,Regional: Wallonia : DG04 Energie",2004,Yes,RES directive 2009/28/EC;Cogeneration Directive 2004/8/EC ,CO2,"Facilitators perform promotional actions and provide guidance and technical support to projects holders. They also identify technical and non technical barriers and formulate proposals to lift them. Facilitators exist for each renewable energy  systems (RES) technology (windmills, biomethanisation, wood energy, bio-fuels, mini hydro-electricity, Photovoltaic (PV) electricity, ... as well as for combines heat and power (CHP)",,,eea,,,,,,,,,,,
Belgium,EP-A05 : Action plan for renewable energy systems (RES) and combines heat and power (CHP) (partim offshore windfarm),Single PaM,Economic,Implemented,EU ETS,Energy supply,2464.0,2724.0,"Government, Regional","Government: FED : FPS Economy, SMEs, Self-Employed and Energy - DG Energy (E2),Regional: Flanders : VEA,Regional: Wallonia : DGO4 Energy",2004,Yes,RES directive 2009/28/EC ,CO2,"Action Plan for renewable energy and combines heat and power (CHP). This policy and measure gathers various plans to promote electricity from renewable energy systems (RES). The major plan is the development of a large offshore wind farm in the North Sea, aiming at a total capacity of 2 000 MW electricity from offshore wind in 2020. Based on the permits granted, the offshore wind potential is between 2.200 and 2.300 MW. Other plans concern notably on-shore windfarms, (micro) CHP, generation of green heat, use of residual heat and encouragement of heat networks.",,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EP-B02 : Energy planning by electricity producers,Single PaM,Regulatory,Implemented,EU ETS,Energy consumption; Energy supply,,,Regional,Regional: Flanders : VEA,2004,Yes,"Effort Sharing Decision 406/2009/EC;Directive 2006/32/EC on end-use energy efficiency and energy services;EU ETS directive 2003/87/EC as  amended by Directive 2008/101/EC and Directive 2009/29/EC and implementing legislation, in particular 2010/2/EU, 2011/278/EU and 2011/638/EU;Energy Efficiency Directive 2012/27/EU ",CO2,"In the Flemish Region, the Energy Planning Decision imposes energy-efficiency requirements on establishments with a total annual primary energy consumption of at least 0.1 PJ. The electricity sector is included in this regulation.",,,eea,,,,,,,,,,,
Belgium,EC-A01 : Promotion of rational use of energy by electricity distribution companies as part of their public service obligation,Single PaM,"Economic, Information",Implemented,ESD,Energy consumption,491.0,754.0,Regional,"Regional: Flanders : VEA,Regional: Brussels : IBGE",2004,Yes,Effort Sharing Decision 406/2009/EC;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU);Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,"In Flanders, the electricity distribution network operators manage a compulsory programme promoting rational use of energy (RUE) among customers. The programme is featuring information, demonstrations, various energy services and financial supports for actions and improvements. Operators are required to pay special attention to disadvantaged social groups. Higher grants are provided for combined insulation projects.",,,eea,,,,,,,,,,,
Belgium,EC-A03 : Energy performance and certificate of buildings,Single PaM,Regulatory,Implemented,ESD,Energy consumption,15.0,38.0,Regional,"Regional: Flanders: VEA,Regional: Wallonia: DGO4 Energie,Regional: Brussels: IBGE",2004,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU);Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,"Energy performance and certification of buildings (legal and methodological aspects): actions taken in order to transpose the directive including development of the methodology needed to quantify regulations for new buildings and the performance of existing buildings for certification.(eg Brussels : obligation of an energy audit for tertiary buildings with more than 3500 m2, ...)",,,eea,,,,,,,,,,,
Belgium,EC-A04 : Appointment of accredited energy experts,Single PaM,"Education, Regulatory",Implemented,ESD,Energy consumption,,,Regional,"Regional: Flanders: VEA,Regional: Wallonia : DGO4,Regional: Brussels: IBGE",2004,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU);Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,Accreditation of energy experts based on specific criteria to guarantee their expertise,,,eea,,,,,,,,,,,
Belgium,EC-A05 : Promotion of energy efficient electrical appliances,Single PaM,"Economic, Information, Regulatory",Implemented,"EU ETS, ESD",Energy consumption; Energy supply,6512.0,11282.0,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment; FPS Economy, SMEs, Self-Employed and Energy - DG Energy (E2),Regional: Brussels: IBGE,Regional: Flanders: VEA",2004,Yes,"Eco-design framework directive 2005/32/EC and its implementing regulations, combined with Labelling Directive 2003/66/EC and 2010/30/EC, including implementing measures;Energy Star Program ",CO2,"Promoting energy efficient appliances through performance standards and labelling. In addition, premium are offered with the purchase of efficient appliances. 
In Flanders the electricity distribution network operators provide a premium to disadvantaged social groups when they buy an energy efficient refrigerator or washing machine as part of their public service obligations (EC-A01)",,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EC-B01 : Financial support to rational use of energy (RUE) and renewable energy systems (RES) in the residential sector,Single PaM,"Economic, Fiscal",Implemented,ESD,Energy consumption,138.0,138.0,"Government, Regional","Government: FED: FPS finances,Regional: Flanders: VEA, Wonen Vlaanderen, VLABEL,Regional: Wallonia : DGO4 Energie,Regional: Brussels: IBGE",2004,Yes,Effort Sharing Decision 406/2009/EC;Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,"Financial incentives for the rational use of energy (RUE) and renewable energy systems (RES) : combination of regional subsidies and federal tax deduction for investments generating energy savings. Covers most of equipment such as wall insulation, high performance double glazing, condensing boilers, heating systems regulations, efficient hot water heaters and heat pumps. In Wallonia, application for subsidies can be submitted directly or through the """"Alliance for Employment and Environment"""", proposing conventions between house owners and the authority : individuals commit to realize a package of investments (minimum one action on the building envelope and one on the heating/solar hot water - SHW system) and authorities provide subsidies and offer a 0% interest loan to cover the additional expense. Still in Wallonia, energy subsidies have merged with households rehabilitation/renovation mechanisms and their level of support varies with the income of owners. In Flanders important financial incentives are given through the public service obligations concerning rational use of energy for electricity distribution network operators (EC-A01). On top of the grants from the network operators a renovation grant is awarded for certain energy-related investments. in addition, the property tax for energy efficient newbuilds is automatically lowered if the newbuild autperforms the prevailing requirements. The government offers an ‘energy loan’ of maximum €10 000 to finance RUE investments. Disadvantaged social groups and owners who rent their house to these groups receive the loan at 0% interest. Other homeowners pay an interest of 2%. The Federal tax deduction was discontinued in January 2012, except for roof insulation (albeit at a lower rate). This last tax deduction mechanism is now transferred to the Regions (since 1 January 2015). Regions have not yet taken positions about which mechanism they want to implement : subsidies, tax deductions or both. Until now, no Region has cancelled the measure yet. In Brussels, a system of energy grants exists from 2004 to present. The system is for households and commercial sector. An annual budget is established each year to finance different type of actions or equipment: Windows replacement, insulation of roofs, walls, replacement of heating boilers, regulation systems, among others.",,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EC-B02 : Efficiency and emission regulation for boilers and stoves in the residential sector,Single PaM,Regulatory,Implemented,ESD,Energy consumption,64.0,114.0,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Flanders: VEA, LNE",2005,Yes,Other (Union policy not listed above or additional Union policy);Energy Efficiency Directive 2012/27/EU 2001/81/EC,CO2,"Specific constraints on solid fuel, gas and liquid fuel boilers and stoves: standards on CO, PM and NOx emissions and energy efficiency. 
Periodic maintenance of central heating boilers (every one or two years depending on the system) and a periodic audit of the central heating system by a certified technician is obliged for home owners/users.",,,eea,,,,,,,,,,,
Belgium,EC-B03 : Specific support for rational use of energy (RUE) initiatives for people with low incomes,Single PaM,Economic,Expired,"ESD, EU ETS",Energy consumption,26.0,26.0,"Government, Regional","Regional: Flanders: VEA, Wonen Vlaanderen,Regional: Brussels: IBGE, AATL,Regional: Wallonia : DG04 Energie,Government: Federal: FPS Health, Food Chain Safety and Environment - DG Environment; FPS Economy - DG Energy ; IFDD",2004,No,No information,CO2,"Specific rational use of energy (RUE) aid for unprivileged people, who do not pay tax and thus may not benefit from tax exemptions. The Fund for the Reduction of the Global cost of Energy (FRGE) was used to improve the energy efficiency of housings for disadvantaged people via cheap loans (Vito/Econotec, 2015). The FRGE is transferred to the regions on 1 January 2015 Since tax exemptions for RUE investments were suppressed, such mechanisms are no more in application. In Flanders special support was integrated into other existing systems (higher subsidies unther the public service obligation of electricity distribution companies, social insulation projects for rental houses, renovation grant, energy performance programme for social housing, energy loan at 0% interest, ...).",2015,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EC-B05 : Energy performance of buildings (residential sector),Single PaM,Regulatory,Implemented,ESD,Energy consumption,13.0,53.0,Regional,"Regional: Flanders: VEA,Regional: Wallonia : DG04 Energie,Regional: Brussels: IBGE",2004,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) ,CO2,"Imposition of energy requirements (Energy Performance Decree standard) to homes and apartments Flanders: the requirements for new buildings and full renovations are tightend step by step so as to reach nearly energy neutral new buildings in 2021. The information on the energy certificates of buildings is gradually expanded so as to better inform (potential) owners and users of buildings. In addition, the Flemish Housing Code (which every home - new and existing - in Flanders is required to satisfy) will impose minimal energy performance requirements (such as an obligation to have roof insulation and minimum double glazed windows). Wallonia : same procedure, however only recent stages have been officially decided. Brussels Capital Region: The Government's decree of 21 December 2007 on energy performance of buildings (EPB) stipulates that new buildings have to be passive and heavily renovated ones very low energy starting in 2015.",,,eea,,,,,,,,,,,
Belgium,EC-B05 bis : Energy performance and certification of buildings (residential),Single PaM,Regulatory,Implemented,ESD,Energy consumption,52.0,156.0,Regional,"Regional: Flanders: VEA,Regional: Wallonia : DG04 Energie,Regional: Brussels: IBGE",2016,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) ,CO2,"Improving the energy efficiency of buildings (by transposition of the EC directive on energy performance of buildings and establishment of the methodology to be used to evaluate the performance of buildings) ; 
stage 2 : Additional steps in the energy performance of buildings (partim residential sector): Wallonia : completing application schedule up to 2020",2020,,eea,,,,,,,,,,,
Belgium,EC-B06 Adaptation of urbanistic regulations to facilitate the promotion of rational use of energy (RUE) and renewable energy systems (RES) in the residential sector,Single PaM,Regulatory,Implemented,ESD,Energy consumption,,,Regional,"Regional: Flanders : Rural planning, VEA, LNE,Regional: Wallonia : DG04 Aménagement du territoire",2004,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU);Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,"Optimizing spatial planning requirements in the context of energy efficient building and renovation. For instance, currently, external insulation of buildings in cities can be prohibited if the thickness of the insulation reduces the area of the sidewalk.",,,eea,,,,,,,,,,,
Belgium,EC-C01 : Third party financing in the public sector,Single PaM,Economic,Implemented,"ESD, EU ETS",Energy consumption,,,Government,"Government: Federal building agency, taking over the measure",2005,Yes,Effort Sharing Decision 406/2009/EC;Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,Establish a third party investor fund to support rational use of energy investments in public sector buildings.,,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,EC-C02 :  Energy and environmental performance and indoor climatic  requirements in buildings of the services and community sectors,Single PaM,Regulatory,Implemented,ESD,Energy consumption,17.0,259.0,Regional,"Regional: Flanders: VEA,Regional: Wallonia : DGO4 Energie,Regional: Brussels: IBGE",2004,Yes,Energy Efficiency Directive 2012/27/EU;Directive 2006/32/EC on end-use energy efficiency and energy services ,CO2,Transposing the energy performance of buildings (EPB) directive for the tertiary sector. Imposing energy requirements (including indoor) to tertiary buildings (Energy Performance Decree standard) Brussels Capital Region: The Government's decree of 21 December 2007 regarding EPB stipulates that new buildings has to be passive and heavy renovated ones very low energy starting in 2015 Flanders: the requirements for new buildings and full renovations are tightened step by step so as to reach nearly energy neutral new buildings in 2021. The information on the energy certificates of buildings is gradually expanded so as to better inform (potential) owners and users of buildings.,,,eea,,,,,,,,,,,
Belgium,EC-C02bis : Energy performance and certification of buildings (services and communities sectors),Single PaM,Regulatory,Adopted,ESD,Energy consumption,91.0,91.0,Regional,"Regional: Flanders: VEA,Regional: Wallonia : DGO4 Energie,Regional: Brussels: IBGE",2015,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) ,CO2,"Transposing the energy performance of buildings directive in the tertiary sectors (additional steps): 
Wallonia : completing application schedule up to 2020",2020,,eea,,,,,,,,,,,
