projectID,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,Primary sector,Secondary sector,Subsector,Segment,Location,ContractPeriod,TerminationYear,PubliclyTraded,StockExchange,MultipleSystems,NumberOfSystems,CaptiveFacility,SharePercent,GovtGrantingContract,TypeOfGovtSupport,InvestmentYear,PercentPrivate,GovtPaymentCommitments,PhysicalAssets,TotalInvestment,GovCashAssist,dateStatusUpdated,CapacityType,Capacity,CapacityYear,Technology,ContractHistory,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,NumberRenewalBids,Sponsors,MultiLateralSupport,Revenue Source,RenewalBidCriteria,RenewalAwardMethod,DevelopmentStage,CommissioningDate,ProjectGrid,CarbonCredits,FundingYear,PrivateFunding,PublicFunding,GovtFunding,BankLocalFunding,DonorFunding,DebtEquityGrantRatio
2237,East Asia and Pacific,China,Upper middle income,Non-IDA,1999,January,Guangdong Huaiji Power,Guangdong Huaiji Hydro-electric Power Project,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Huaiji County, Guangdong Province",30,2029,No,N/A,No,,No,,..,,1999,50,0,115.7,115.7,,,MW,115,1999,"Hydro, Large (>50MW)",,,Not Applicable,,,,"China Light and Power Ltd. (75% / Hong Kong, China)",,,,,Financial Closure,,,No,,,,,,,
2237,East Asia and Pacific,China,Upper middle income,Non-IDA,1999,January,Guangdong Huaiji Power,Guangdong Huaiji Hydro-electric Power Project,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Huaiji County, Guangdong Province",30,2029,No,N/A,No,,No,,..,,2005,75,0,115.7,115.7,,,MW,98,2005,"Hydro, Large (>50MW)",,,Not Applicable,,,,"China Light and Power Ltd. (75% / Hong Kong, China)",,,,,Financial Closure,,,No,,,,,,,
2229,East Asia and Pacific,China,Upper middle income,Non-IDA,1999,June,Weigang Meiya,,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Weigang, Shanghai",,,No,N/A,No,,No,,..,,1999,32,0,50,50,,,MW,50,1999,Waste,,,,,,,"American International Group (AIG) (.. / United States), PSEG Global Inc. (33% / United States)",,,,,Financial Closure,,,,,,,,,,
2230,East Asia and Pacific,China,Upper middle income,Non-IDA,1999,October,Zuojiang Meiya,,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Zuojiang, Guangxi",,,No,N/A,No,,No,,..,,1999,59,0,62.3,62.3,,,MW,72,1999,"Hydro, Large (>50MW)",,,,,,,"PSEG Global Inc. (30% / United States), Asian Infrastructure Fund (18% / ..)",,,,,Financial Closure,,,,,,,,,,
2571,East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Fujian Mindong Electric Power Co.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Fuan, Fujian Province",,,Yes,Local,No,,No,,..,,2000,,150,0,150,,,MW,,2000,"Hydro, Small (<50MW)",,,Highest price paid to government,Competitive bidding,,,Others (.. / ..),,,Not Applicable,Not Applicable,Financial Closure,,,No,,,,,,,
625,East Asia and Pacific,China,Upper middle income,Non-IDA,2000,March,Guangxi Guigan Electric Power,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Guiguan, Guangxi Province",,,Yes,..,No,,No,,..,,2000,16,83.3,0,83.3,,,MW,592,2000,"Hydro, Large (>50MW)",,,Highest price paid to government,Competitive bidding,,,Others (.. / ..),,,,,Financial Closure,,,,,,,,,,
5119,East Asia and Pacific,China,Upper middle income,Non-IDA,2001,May,Beijing Kangxi Wind Farm Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Yanqing County, Beijing Municipality",30,2031,No,N/A,No,,No,,State/Provincial,,2001,100,0,241.55,241.55,Not Available,,MW,200,2001,"Wind, Onshore",,,Not Applicable,Direct negotiation,,,Farsighted Investment (100% / China),,,,,Financial Closure,,,,,,,,,,
4300,East Asia and Pacific,China,Upper middle income,Non-IDA,2001,November,Longquan Ruiyang Phase II Hydroelectric Power Plant,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Longquan City, Zhejiang Province",50,2051,No,N/A,No,1,No,,..,,2001,,0,24.1,24.1,,,MW,30,2001,"Hydro, Small (<50MW)",,,Not Applicable,,,,Farsighted Investment (.. / China),,,,,Financial Closure,,,No,,,,,,,
2933,East Asia and Pacific,China,Upper middle income,Non-IDA,2002,May,Asia Power Anning River,,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,Sichuan Province,30,2032,No,N/A,No,,No,,..,,2002,30,0,38.65,38.65,,,MW,117,2002,"Hydro, Large (>50MW)",,,Not Applicable,,,,Asia Power (30% / Singapore),,,,,Financial Closure,,,No,,,,,,,
2934,East Asia and Pacific,China,Upper middle income,Non-IDA,2002,July,Asia Power Sichuan Maoergai Hydropower,,Greenfield project,"Build, own, and operate",Construction,Energy,N/A,Electricity,Electricity generation,"Songpan County, Sichuan Province",30,2032,No,N/A,No,,No,,..,,2002,35,0,50.08,50.08,,,MW,80,2002,"Hydro, Large (>50MW)",,,Not Applicable,,,,Asia Power (35% / Singapore),,,,,Financial Closure,,,No,,,,,,,
3257,East Asia and Pacific,China,Upper middle income,Non-IDA,2002,February,Mianyang - Units 2 and 3,,Greenfield project,"Build, own, and operate",Construction,Energy,N/A,Electricity,Electricity generation,"Mianyang City, Sichuan province",30,2032,No,N/A,No,1,No,,..,,2002,75,0,30,30,,,MW,45,2002,"Hydro, Small (<50MW)",,,Not Applicable,,,,"Asian Infrastructure Fund (23% / ..), PSEG Global Inc. (38% / United States)",,,,,Financial Closure,,,No,,,,,,,
4371,East Asia and Pacific,China,Upper middle income,Non-IDA,2002,December,Qingdao Huawei Wind Farm Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Jimo City, Shandong Province",25,2027,No,N/A,No,1,No,,Local,,2002,,0,16.84,16.84,,,MW,16,2002,"Wind, Onshore",,,Not Applicable,,,,Infra Vest GmbH (.. / Germany),,,,,Financial Closure,,,No,,,,,,,
4317,East Asia and Pacific,China,Upper middle income,Non-IDA,2002,September,Zhigangkala Hydroelectric Power Plant Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Jianzha County, Qinghai Province",30,2032,No,N/A,No,1,No,,..,,2002,,0,171.5,171.5,,,MW,190,2002,"Hydro, Large (>50MW)",,,,,,,AES Corporation (.. / United States),,,,,Financial Closure,,,,,,,,,,
5132,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,June,Helanshan Wind Farm Project phases I and II,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Azuo Qi County, Ningxia",25,2028,No,N/A,No,,No,,Local,Not Applicable,2003,50,0,11.14,11.14,Not Available,3/1/04,MW,30.9,2003,"Wind, Onshore",,,Not Applicable,Direct negotiation,Not Applicable,,Farsighted Investment (50% / China),,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,2004,,,,,,,,,
4299,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,August,Jin'anqiao Hydroelectric Power Plant,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,"Lijiang City, Yunnan Province",50,,No,N/A,No,1,No,,..,,2003,100,0,1691,1691,,,MW,2500,2003,"Hydro, Large (>50MW)",,,,,,,Farsighted Investment (100% / China),,,,,Financial Closure,,,,,,,,,,
3138,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,August,Nina Hydroelectric Plant,,Divestiture,Full,Operational,Energy,N/A,Electricity,Electricity generation,Qinghai Province,50,,No,N/A,No,1,No,,..,,2003,100,145,0,145,,,MW,160,2003,"Hydro, Large (>50MW)",,,,,,,Farsighted Investment (100% / China),,,,,Financial Closure,,,,,,,,,,
5141,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,October,Weixi Tuoluo River Power Plant,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Weixi Lisu Minoriy Autonomative County, Yunnan Province",50,2053,No,N/A,No,,No,,Local,,2003,100,0,18.12,18.12,Not Available,8/1/06,MW,30,2003,"Hydro, Small (<50MW)",,,Not Applicable,Direct negotiation,Not Applicable,,Weixing Group Co Ltd (100% / China),,,,,Financial Closure,2006,,,,,,,,,
3103,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,November,Yangtze Electric Power Co.,Three Gorges Dam Hydro Power Project,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Sandouping, Yichang, Hubei province",,,Yes,..,No,1,No,,..,,2003,30,1200,0,1200,,,MW,6977,2003,"Hydro, Large (>50MW)",,,Not Applicable,,,,Others (30% / ..),,,,,Financial Closure,,,,,,,,,,
5123,East Asia and Pacific,China,Upper middle income,Non-IDA,2003,August,Yongkou Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Dehua County, Fujian Province",50,2053,No,N/A,No,,No,,..,,2003,100,0,25.85,25.85,Not Available,6/1/06,MW,25,2003,"Hydro, Small (<50MW)",,,Not Applicable,Direct negotiation,,,"Jiamei Group (25% / China), Longpeng Group (25% / China), Chuangyi Group (25% / China), Shunmei Group (25% / China)",,,,,Financial Closure,2006,,,,,,,,,
3379,East Asia and Pacific,China,Upper middle income,Non-IDA,2004,October,China Power International Development Ltd.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,Nationwide,,,No,N/A,No,1,No,,..,,2004,38,369,0,369,,,,,2004,"Hydro, Small (<50MW)",,,Not Applicable,,,,Others (38% / ..),,,Not Applicable,Not Applicable,Financial Closure,,,No,,,,,,,
5127,East Asia and Pacific,China,Upper middle income,Non-IDA,2004,January,"Dragon Power Co., Ltd.",,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,Beijing Municipality,Not Applicable,Not Applicable,No,N/A,Yes,20,No,,..,,2004,100,0,181,181,Not Available,,MW,30,2004,Waste,,,Not Applicable,,,,"China Dragon Base Power Technology Ltd (85% / China), Citibank Corp. (15% / United States)",,,,,Financial Closure,,,,,,,,,,
3381,East Asia and Pacific,China,Upper middle income,Non-IDA,2004,August,Jiangsu Rudong Wind Power Plant,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,"Rudong, Jiangsu province",25,2028,No,N/A,No,1,No,,Federal,,2004,100,0,97,97,,,MW,100,2004,"Wind, Onshore",,,Lowest tariff,Competitive bidding,,,"Farsighted Investment (25% / China), Huarui Investment Group (75% / China)",,,,,Financial Closure,,,,,,,,,,
4656,East Asia and Pacific,China,Upper middle income,Non-IDA,2004,August,Qiaohe Cascade One Hydropower Plant Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Badong County, Hubei Province",,,No,N/A,No,1,No,,..,,2004,100,0,4.39,4.39,,,MW,6,2004,"Hydro, Small (<50MW)",,,,Direct negotiation,,,Others (100% / ..),,,,,Financial Closure,,,,,,,,,,
3382,East Asia and Pacific,China,Upper middle income,Non-IDA,2004,December,Yantai City (Changdao) Wind Farm,Changdao Wind Farm,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Changdao, Shandong province",20,,No,N/A,No,1,No,,..,,2004,45,0,29.8,29.8,,6/1/06,MW,27,2004,"Wind, Onshore",,,,,,,"China Light and Power Ltd. (45% / Hong Kong, China)",,,,,Financial Closure,2006,,,,,,,,,
4650,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,April,Asia Wind Power (Mudanjiang) Company Limited,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Mudanjiang City, Heilongjiang Province",70,2075,No,N/A,No,1,No,,Local,,2005,86,0,36.63,36.63,,,MW,30,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"Hong Kong Construction (Holdings) Ltd (86% / Hong Kong, China)",,,,,Financial Closure,,,,,,,,,,
4641,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,October,Datang Ruifeng Shuangliao Wind Farm Project Phase I,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Taonan City, Jilin Province",30,2035,No,N/A,No,1,No,,Local,,2005,49,0,60.12,60.12,0,,,49,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"China Light and Power Ltd. (25% / Hong Kong, China), Hydro Tasmania (25% / Australia)",,,,,Financial Closure,,,No,,,,,,,
3687,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,October,Gansu Datang Yumen Wind Power Co,,Greenfield project,"Build, own, and operate",Construction,Energy,N/A,Electricity,Electricity generation,"Yumen City, Gansu Province",30,,No,N/A,No,1,No,,Federal,,2005,40,0,57.5,57.5,,,MW,49,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"Korea Electric Power Company (KEPCO) (40% / Korea, Rep.)",,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,,,,,,,,,,
4651,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,May,Hong Kong Wind Power (Muling) Company Limited,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Muling City, Heilongjiang Province",70,2075,No,N/A,No,1,No,,Local,,2005,80,0,73.26,73.26,,,MW,30,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"Hong Kong Construction (Holdings) Ltd (80% / Hong Kong, China)",,,,,Financial Closure,,,,,,,,,,
4657,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,October,Meida Daishan Wind Farm Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Daishan County, Zhejiang Province",22,2027,No,N/A,No,1,No,,..,,2005,45,0,51.89,51.89,,,MW,41,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,Zhejiang Meida Group (45% / China),,,,,Financial Closure,,,,,,,,,,
3678,East Asia and Pacific,China,Upper middle income,Non-IDA,2005,June,Weihai Wind power plant China Light and Power,,Greenfield project,"Build, own, and operate",Construction,Energy,N/A,Electricity,Electricity generation,"Weihai City, Shandong Province",21,,No,N/A,No,1,No,,Local,,2005,45,0,19.93,19.93,,,MW,20,2005,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"China Light and Power Ltd. (45% / Hong Kong, China)",,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,,,,,,,,,,
4303,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,March,"Asia Power (Leibo) Hydroelectric Power Co., Ltd.",,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Leibo County, Sichuan Province",50,2056,No,N/A,No,1,No,,Local,,2006,40.1,0,18.63,18.63,,,MW,40,2006,"Hydro, Small (<50MW)",,,Not Applicable,Direct negotiation,Not Applicable,,Asia Power (41% / Singapore),,Not Available,,,Financial Closure,,,No,,,,,,,
4306,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,June,"Asia Power (Yun County) Hydroelectric Power Co., Ltd.",,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Yun County, Yunnan Province",50,2056,No,N/A,No,2,No,,Local,,2006,70,0,12.55,12.55,,,MW,19.5,2006,"Hydro, Small (<50MW)",,,Not Available,,Not Available,,Asia Power (70% / Singapore),,Not Available,Not Applicable,Not Applicable,Financial Closure,,,No,,,,,,,
4643,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,May,Changtu Liaoneng Xiexin Wind Farm Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Changtu County, Liaoning Province",20,2026,No,N/A,No,1,No,,..,,2006,25,0,53.95,53.95,,,MW,50,2006,"Wind, Onshore",,,Not Applicable,,Not Applicable,,China Windpower Group Limited (25% / China),,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,,,,,,,,,,
4655,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Cixi Wind Farm Project Phase I,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Cixi City, Zhejiang Province",20,2026,No,N/A,No,1,No,,Local,,2006,25,0,75.28,75.28,,,MW,50,2006,"Wind, Onshore",,,Not Applicable,,Not Applicable,,King Ring Group (25% / China),,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,,,,,,,,,,
5133,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,June,Diqing Weixi Luoma Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,"Weixi Lisu Minoriy Autonomative County, Yunnan Province",50,2056,No,N/A,No,,No,,Local,,2006,100,0,30.35,30.35,Not Available,,MW,60,2006,"Hydro, Large (>50MW)",,,Not Applicable,Direct negotiation,,,Weixing Group Co Ltd (70% / China),,Not Available,,,Financial Closure,,,,,,,,,,
4639,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,December,Guohua Ruifeng (Rongcheng) Wind Farm Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Rongcheng City, Shandong Province",20,2026,No,N/A,No,1,No,,Local,,2006,49,0,63.11,63.11,,7/1/07,MW,49,2006,"Wind, Onshore",,,Not Applicable,,Not Applicable,,"China Light and Power Ltd. (25% / Hong Kong, China), Hydro Tasmania (25% / Australia)",,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,2007,,,,,,,,,
5142,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,October,Huangtian Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,"Dongyuan County, Guangdong Province",Not Available,,No,N/A,No,,No,,Local,,2006,100,0,39.65,39.65,Not Available,,MW,20,2006,"Hydro, Small (<50MW)",,,Not Available,,Not Available,,Farsighted Investment (100% / China),,Not Available,,,Financial Closure,,,,,,,,,,
4652,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,September,Shandong Linyi Waste-to-Energy Project,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Linyi City, Shandong Province",30,2036,No,N/A,No,1,No,,..,,2006,40,0,34.88,34.88,,,MW,10,2006,Waste,,,Not Applicable,Direct negotiation,Not Applicable,,"Hong Kong Construction (Holdings) Ltd (40% / Hong Kong, China)",,Not Available,,,Financial Closure,,,No,,,,,,,
4305,East Asia and Pacific,China,Upper middle income,Non-IDA,2006,January,"Tianquan River (Shiyang Section) Hydroelectric Power Development Co., Ltd.",,Concession,"Rehabilitate, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Tianquan County, Sichuan Province",50,2056,No,N/A,No,1,No,,..,,2006,24.9,87.8,0,87.8,,,,,2006,"Hydro, Small (<50MW)",,,Not Available,,Not Available,,Asia Power (25% / Singapore),,Not Available,,,Financial Closure,,,No,,,,,,,
